BJD,FLUX,ERRFLUX,AIRMASS,SKY
    503.920237, 0.970021, 0.000250, 1.210,  777.
    503.920960, 0.969975, 0.000255, 1.210,  765.
    503.921682, 0.969848, 0.000255, 1.210,  840.
    503.922404, 0.969950, 0.000252, 1.210,  850.
    503.923126, 0.970480, 0.000251, 1.210,  769.
    503.923849, 0.969335, 0.000249, 1.210,  863.
    503.924571, 0.971464, 0.000251, 1.210,  900.
    503.925293, 0.968838, 0.000250, 1.210,  937.
    503.926015, 0.968344, 0.000250, 1.209,  910.
    503.926737, 0.969618, 0.000250, 1.209,  876.
    503.927460, 0.968890, 0.000249, 1.209,  825.
    503.928182, 0.969622, 0.000249, 1.209,  846.
    503.928904, 0.968309, 0.000249, 1.209,  880.
    503.929626, 0.969908, 0.000251, 1.209,  905.
    503.930348, 0.968166, 0.000251, 1.209,  965.
    503.931070, 0.967969, 0.000253, 1.209,  972.
    503.931792, 0.969358, 0.000250, 1.209,  967.
    503.932514, 0.967432, 0.000251, 1.209,  934.
    503.933236, 0.966910, 0.000249, 1.209,  877.
    503.933959, 0.967100, 0.000252, 1.210,  874.
    503.934680, 0.965962, 0.000251, 1.210,  905.
    503.935403, 0.965444, 0.000251, 1.210,  937.
    503.936125, 0.965998, 0.000250, 1.210,  953.
    503.936847, 0.967655, 0.000249, 1.210,  881.
    503.937569, 0.966410, 0.000247, 1.210,  866.
    503.938292, 0.966515, 0.000246, 1.210,  932.
    503.939014, 0.964797, 0.000246, 1.210,  921.
    503.939736, 0.966212, 0.000248, 1.210,  959.
    503.940458, 0.965811, 0.000250, 1.210,  972.
    503.941181, 0.965194, 0.000254, 1.210, 1014.
    503.941904, 0.964349, 0.000250, 1.210,  991.
    503.942627, 0.963265, 0.000247, 1.210,  927.
    503.943349, 0.964843, 0.000247, 1.211,  855.
    503.944071, 0.965069, 0.000247, 1.211,  828.
    503.944794, 0.964966, 0.000246, 1.211,  853.
    503.945516, 0.965428, 0.000246, 1.211,  831.
    503.946238, 0.965443, 0.000246, 1.211,  885.
    503.946960, 0.964639, 0.000245, 1.211,  849.
    503.947682, 0.965046, 0.000245, 1.211,  906.
    503.948404, 0.963208, 0.000245, 1.211,  869.
    503.949126, 0.963512, 0.000245, 1.212,  874.
    503.949848, 0.965618, 0.000247, 1.212,  850.
    503.950570, 0.963938, 0.000245, 1.212,  858.
    503.951292, 0.964170, 0.000247, 1.212,  922.
    503.952014, 0.964063, 0.000246, 1.212,  952.
    503.952736, 0.963617, 0.000247, 1.213,  914.
    503.953458, 0.963238, 0.000247, 1.213,  867.
    503.954181, 0.963207, 0.000247, 1.213,  917.
    503.954903, 0.962423, 0.000248, 1.213,  939.
    503.955625, 0.962594, 0.000248, 1.213, 1019.
    503.956347, 0.963373, 0.000247, 1.214,  988.
    503.957069, 0.964148, 0.000246, 1.214,  957.
    503.957791, 0.963782, 0.000246, 1.214,  892.
    503.958513, 0.963329, 0.000245, 1.214,  899.
    503.959236, 0.962159, 0.000246, 1.214,  899.
    503.959959, 0.963945, 0.000247, 1.215,  892.
    503.960681, 0.962316, 0.000246, 1.215,  864.
    503.961403, 0.963177, 0.000245, 1.215,  816.
    503.962125, 0.962031, 0.000245, 1.215,  877.
    503.962847, 0.961141, 0.000245, 1.216,  869.
    503.963570, 0.961226, 0.000246, 1.216,  840.
    503.964291, 0.961597, 0.000247, 1.216,  811.
    503.965013, 0.961228, 0.000247, 1.217,  828.
    503.965736, 0.960978, 0.000248, 1.217,  826.
    503.966458, 0.961300, 0.000251, 1.217,  804.
    503.967181, 0.961563, 0.000250, 1.218,  799.
    503.967903, 0.960668, 0.000249, 1.218,  826.
    503.968625, 0.961840, 0.000249, 1.218,  822.
    503.969347, 0.960716, 0.000247, 1.218,  744.
    503.970069, 0.962307, 0.000248, 1.219,  787.
    503.970792, 0.960435, 0.000246, 1.219,  798.
    503.971514, 0.959971, 0.000247, 1.219,  839.
    503.972237, 0.959364, 0.000247, 1.220,  842.
    503.972959, 0.961417, 0.000247, 1.220,  852.
    503.973681, 0.960198, 0.000246, 1.221,  839.
    503.974403, 0.960027, 0.000246, 1.221,  903.
    503.975125, 0.959805, 0.000247, 1.221,  883.
    503.975847, 0.958523, 0.000247, 1.222,  882.
    503.976569, 0.960384, 0.000247, 1.222,  844.
    503.977292, 0.959936, 0.000247, 1.222,  840.
    503.978014, 0.958328, 0.000250, 1.223,  862.
    503.978736, 0.959519, 0.000251, 1.223,  887.
    503.979458, 0.958585, 0.000256, 1.224,  959.
    503.980180, 0.958307, 0.000257, 1.224,  982.
    503.980903, 0.957088, 0.000255, 1.224, 1018.
    503.981625, 0.958255, 0.000255, 1.225, 1022.
    503.982347, 0.957041, 0.000252, 1.225,  997.
    503.983069, 0.958016, 0.000255, 1.226,  996.
    503.983791, 0.956077, 0.000253, 1.226,  984.
    503.984514, 0.955813, 0.000252, 1.227,  927.
    503.985237, 0.957877, 0.000251, 1.227,  932.
    503.985959, 0.957891, 0.000251, 1.228,  931.
    503.986681, 0.956945, 0.000251, 1.228,  862.
    503.987403, 0.958508, 0.000252, 1.228,  853.
    503.988125, 0.956494, 0.000250, 1.229,  945.
    503.988848, 0.957089, 0.000250, 1.229,  975.
    503.989570, 0.958208, 0.000249, 1.230,  921.
    503.990292, 0.958987, 0.000249, 1.230,  900.
    503.991015, 0.956985, 0.000247, 1.231,  858.
    503.991737, 0.957223, 0.000248, 1.231,  938.
    503.992459, 0.957600, 0.000249, 1.232,  984.
    503.993181, 0.957855, 0.000249, 1.232,  972.
    503.993904, 0.958330, 0.000249, 1.233,  988.
    503.994626, 0.957584, 0.000248, 1.234,  979.
    503.995348, 0.959018, 0.000247, 1.234,  976.
    503.996070, 0.958126, 0.000248, 1.235, 1009.
    503.996792, 0.957311, 0.000248, 1.235, 1008.
    503.997514, 0.955718, 0.000250, 1.236,  954.
    503.998237, 0.955985, 0.000249, 1.236, 1015.
    503.998959, 0.956618, 0.000251, 1.237, 1046.
    503.999681, 0.957666, 0.000251, 1.237, 1014.
    504.000403, 0.955855, 0.000250, 1.238, 1028.
    504.001125, 0.956574, 0.000252, 1.239,  986.
    504.001847, 0.955315, 0.000250, 1.239,  963.
    504.002569, 0.957965, 0.000251, 1.240,  963.
    504.003292, 0.956421, 0.000248, 1.240,  989.
    504.004014, 0.956897, 0.000249, 1.241,  996.
    504.004736, 0.957690, 0.000250, 1.242,  995.
    504.005458, 0.956673, 0.000249, 1.242,  967.
    504.006180, 0.955873, 0.000248, 1.243,  885.
    504.006903, 0.958453, 0.000250, 1.244,  883.
    504.007625, 0.957052, 0.000249, 1.244,  952.
    504.008347, 0.955970, 0.000249, 1.245,  975.
    504.009069, 0.956128, 0.000249, 1.245,  975.
    504.009791, 0.956569, 0.000250, 1.246,  967.
    504.010513, 0.955788, 0.000249, 1.247,  913.
    504.011235, 0.954364, 0.000250, 1.247,  870.
    504.011957, 0.957851, 0.000249, 1.248,  848.
    504.012679, 0.956927, 0.000251, 1.249,  812.
    504.013401, 0.956597, 0.000251, 1.250,  898.
    504.014123, 0.956780, 0.000251, 1.250,  875.
