name;gender;category;year
Tawakkol Karman;female;Peace;2011
Isidor Isaac Rabi;male;Physics;1944
Richard Adolf Zsigmondy;male;Chemistry;1925
Hermann Emil Fischer;male;Chemistry;1902
Selma Ottilia Lovisa Lagerlöf;female;Literature;1909
Ivo Andric;male;Literature;1961
Ernest Orlando Lawrence;male;Physics;1939
Klaus von Klitzing;male;Physics;1985
E. Donnall Thomas;male;Physiology_or_Medicine;1990
Joseph E. Murray;male;Physiology_or_Medicine;1990
Salvatore Quasimodo;male;Literature;1959
Kurt Wüthrich;male;Chemistry;2002
John B. Fenn;male;Chemistry;2002
Koichi Tanaka;male;Chemistry;2002
Linda B. Buck;female;Physiology_or_Medicine;2004
Richard Axel;male;Physiology_or_Medicine;2004
Daniel Nathans;male;Physiology_or_Medicine;1978
Hamilton O. Smith;male;Physiology_or_Medicine;1978
Werner Arber;male;Physiology_or_Medicine;1978
Sir James W. Black;male;Physiology_or_Medicine;1988
George H. Hitchings;male;Physiology_or_Medicine;1988
Gertrude B. Elion;female;Physiology_or_Medicine;1988
Joseph Erlanger;male;Physiology_or_Medicine;1944
Herbert Spencer Gasser;male;Physiology_or_Medicine;1944
Heike Kamerlingh Onnes;male;Physics;1913
René Cassin;male;Peace;1968
Georges Charpak;male;Physics;1992
Norman F. Ramsey;male;Physics;1989
Hans G. Dehmelt;male;Physics;1989
Wolfgang Paul;male;Physics;1989
Otto Wallach;male;Chemistry;1910
Gabriel García Márquez;male;Literature;1982
Selman Abraham Waksman;male;Physiology_or_Medicine;1952
Hartmut Michel;male;Chemistry;1988
Johann Deisenhofer;male;Chemistry;1988
Robert Huber;male;Chemistry;1988
James Dewey Watson;male;Physiology_or_Medicine;1962
Maurice Hugh Frederick Wilkins;male;Physiology_or_Medicine;1962
Francis Harry Compton Crick;male;Physiology_or_Medicine;1962
Friedrich August von Hayek;male;Economic_Sciences;1974
Gunnar Myrdal;male;Economic_Sciences;1974
Kenzaburo Oe;male;Literature;1994
Lord (Alexander R.) Todd;male;Chemistry;1957
Karl Ferdinand Braun;male;Physics;1909
Guglielmo Marconi;male;Physics;1909
Jody Williams;female;Peace;1997
William Vickrey;male;Economic_Sciences;1996
James A. Mirrlees;male;Economic_Sciences;1996
F. Sherwood Rowland;male;Chemistry;1995
Paul J. Crutzen;male;Chemistry;1995
Mario J. Molina;male;Chemistry;1995
Lev Davidovich Landau;male;Physics;1962
John Bardeen;male;Physics;1956
Walter Houser Brattain;male;Physics;1956
William Bradford Shockley;male;Physics;1956
John Bardeen;male;Physics;1972
Leon Neil Cooper;male;Physics;1972
John Robert Schrieffer;male;Physics;1972
John James Rickard Macleod;male;Physiology_or_Medicine;1923
Frederick Grant Banting;male;Physiology_or_Medicine;1923
Emil Adolf von Behring;male;Physiology_or_Medicine;1901
Orhan Pamuk;male;Literature;2006
Ralph Bunche;male;Peace;1950
Leonid Vitaliyevich Kantorovich;male;Economic_Sciences;1975
Tjalling C. Koopmans;male;Economic_Sciences;1975
Sir Robert Robinson;male;Chemistry;1947
Frank Wilczek;male;Physics;2004
David J. Gross;male;Physics;2004
H. David Politzer;male;Physics;2004
George Bernard Shaw;male;Literature;1925
Kenneth G. Wilson;male;Physics;1982
Hans Adolf Krebs;male;Physiology_or_Medicine;1953
Fritz Albert Lipmann;male;Physiology_or_Medicine;1953
Frank Billings Kellogg;male;Peace;1929
Peter Brian Medawar;male;Physiology_or_Medicine;1960
Sir Frank Macfarlane Burnet;male;Physiology_or_Medicine;1960
Axel Hugo Theodor Theorell;male;Physiology_or_Medicine;1955
H. Robert Horvitz;male;Physiology_or_Medicine;2002
John E. Sulston;male;Physiology_or_Medicine;2002
Sydney Brenner;male;Physiology_or_Medicine;2002
J. Michael Bishop;male;Physiology_or_Medicine;1989
Harold E. Varmus;male;Physiology_or_Medicine;1989
Sir Harold W. Kroto;male;Chemistry;1996
Robert F. Curl Jr.;male;Chemistry;1996
Richard E. Smalley;male;Chemistry;1996
Vicente Aleixandre;male;Literature;1977
Paul C. Lauterbur;male;Physiology_or_Medicine;2003
Sir Peter Mansfield;male;Physiology_or_Medicine;2003
Harold Clayton Urey;male;Chemistry;1934
Heinrich Böll;male;Literature;1972
Frederick Sanger;male;Chemistry;1958
Frederick Sanger;male;Chemistry;1980
Paul Berg;male;Chemistry;1980
Walter Gilbert;male;Chemistry;1980
Herta Müller;female;Literature;2009
Earl W. Sutherland, Jr.;male;Physiology_or_Medicine;1971
Eric Betzig;male;Chemistry;2014
Stefan W. Hell;male;Chemistry;2014
William E. Moerner;male;Chemistry;2014
Otto Loewi;male;Physiology_or_Medicine;1936
Sir Henry Hallett Dale;male;Physiology_or_Medicine;1936
Howard Martin Temin;male;Physiology_or_Medicine;1975
David Baltimore;male;Physiology_or_Medicine;1975
Renato Dulbecco;male;Physiology_or_Medicine;1975
Nelly Sachs;female;Literature;1966
Shmuel Yosef Agnon;male;Literature;1966
José Echegaray y Eizaguirre;male;Literature;1904
Frédéric Mistral;male;Literature;1904
Michael S. Brown;male;Physiology_or_Medicine;1985
Joseph L. Goldstein;male;Physiology_or_Medicine;1985
Joseph Brodsky;male;Literature;1987
James P. Allison;male;Physiology_or_Medicine;2018
Tasuku Honjo;male;Physiology_or_Medicine;2018
Simon Kuznets;male;Economic_Sciences;1971
Owen Willans Richardson;male;Physics;1928
K. Alexander Müller;male;Physics;1987
J. Georg Bednorz;male;Physics;1987
Theodore William Richards;male;Chemistry;1914
Tomas Tranströmer;male;Literature;2011
Wole Soyinka;male;Literature;1986
John Warcup Cornforth;male;Chemistry;1975
Vladimir Prelog;male;Chemistry;1975
Henry Taube;male;Chemistry;1983
Eyvind Johnson;male;Literature;1974
Harry Martinson;male;Literature;1974
Willem Einthoven;male;Physiology_or_Medicine;1924
Le Duc Tho ;male;Peace;1973
Henry Alfred Kissinger;male;Peace;1973
Klas Pontus Arnoldson;male;Peace;1908
Fredrik Bajer;male;Peace;1908
Erwin Schrödinger;male;Physics;1933
Paul Adrien Maurice Dirac;male;Physics;1933
Mo Yan;male;Literature;2012
Frits Zernike;male;Physics;1953
Robert Bárány;male;Physiology_or_Medicine;1914
John L. Hall;male;Physics;2005
Theodor W. Hänsch;male;Physics;2005
Roy J. Glauber;male;Physics;2005
Torsten N. Wiesel;male;Physiology_or_Medicine;1981
David H. Hubel;male;Physiology_or_Medicine;1981
Roger W. Sperry;male;Physiology_or_Medicine;1981
Paul Ehrlich;male;Physiology_or_Medicine;1908
Ilya Ilyich Mechnikov;male;Physiology_or_Medicine;1908
Henrik Pontoppidan;male;Literature;1917
Karl Adolph Gjellerup;male;Literature;1917
Isamu Akasaki;male;Physics;2014
Shuji Nakamura;male;Physics;2014
Hiroshi Amano;male;Physics;2014
Rabindranath Tagore;male;Literature;1913
Günter Grass;male;Literature;1999
Susumu Tonegawa;male;Physiology_or_Medicine;1987
Frederick Chapman Robbins;male;Physiology_or_Medicine;1954
John Franklin Enders;male;Physiology_or_Medicine;1954
Thomas Huckle Weller;male;Physiology_or_Medicine;1954
Clinton Joseph Davisson;male;Physics;1937
George Paget Thomson;male;Physics;1937
Frédéric Joliot;male;Chemistry;1935
Irène Joliot-Curie;female;Chemistry;1935
James Chadwick;male;Physics;1935
Léon Jouhaux;male;Peace;1951
Elias James Corey;male;Chemistry;1990
Konrad Lorenz;male;Physiology_or_Medicine;1973
Nikolaas Tinbergen;male;Physiology_or_Medicine;1973
Karl von Frisch;male;Physiology_or_Medicine;1973
Julian Schwinger;male;Physics;1965
Sin-Itiro Tomonaga;male;Physics;1965
Richard P. Feynman;male;Physics;1965
John C. Polanyi;male;Chemistry;1986
Dudley R. Herschbach;male;Chemistry;1986
Yuan T. Lee;male;Chemistry;1986
Johannes Andreas Grib Fibiger;male;Physiology_or_Medicine;1926
Rodney R. Porter;male;Physiology_or_Medicine;1972
Gerald M. Edelman;male;Physiology_or_Medicine;1972
Harald zur Hausen;male;Physiology_or_Medicine;2008
Luc Montagnier;male;Physiology_or_Medicine;2008
Françoise Barré-Sinoussi;female;Physiology_or_Medicine;2008
Gregg L. Semenza;male;Physiology_or_Medicine;2019
Sir Peter J. Ratcliffe;male;Physiology_or_Medicine;2019
William G. Kaelin Jr;male;Physiology_or_Medicine;2019
Enrico Fermi;male;Physics;1938
